2019.06.18,8:45,Open,High,Low,Close,Volume,No Strategy Return,Total Return,rolling_max,daily_drawdown,max_daily_drawdown,Rolling Mean,Bollinger High,Bollinger Low,200MA,Volume Mean,Volume+,Position,Strategy Return,Index Return,Market Return
2019-12-31,22:45,1.12151,1.12156,1.12149,1.12154,29,,,,,,,,,,,,,,,
2020-01-02,6:00,1.12132,1.12134,1.12128,1.12132,61,-0.000196178,0.999803822,,,,,,,,,,,,,-0.000196178
2020-01-02,6:05,1.12132,1.12134,1.12124,1.12133,55,8.92E-06,0.999812738,,,,,,,,,,,,,8.92E-06
2020-01-02,6:10,1.12133,1.12142,1.12132,1.12142,56,8.03E-05,0.999892982,,,,,,,,,,,,,8.03E-05
2020-01-02,6:15,1.12142,1.12143,1.12137,1.12142,87,0,0.999892982,,,,,,,,,,,,,0
2020-01-02,6:20,1.12143,1.12143,1.12122,1.12126,68,-0.000142686,0.999750311,,,,,,,,,,,,,-0.000142686
2020-01-02,6:25,1.12126,1.12128,1.12118,1.12122,54,-3.57E-05,0.999714645,,,,,,,,,,,,,-3.57E-05
2020-01-02,6:30,1.12122,1.12122,1.12107,1.12118,80,-3.57E-05,0.999678979,,,,,,,,,,,,,-3.57E-05
2020-01-02,6:35,1.12117,1.12118,1.12104,1.12106,57,-0.000107036,0.999571977,,,,,,,,,,,,,-0.000107036
2020-01-02,6:40,1.12106,1.12107,1.12089,1.12096,73,-8.92E-05,0.99948281,,,,,,,,,,,,,-8.92E-05
2020-01-02,6:45,1.12096,1.12099,1.12075,1.12075,62,-0.000187357,0.99929555,,,,,,,,,,,,,-0.000187357
2020-01-02,6:50,1.12075,1.12075,1.12042,1.12046,71,-0.000258789,0.999036944,,,,,,,,,,,,,-0.000258789
2020-01-02,6:55,1.12046,1.12046,1.12008,1.12011,180,-0.000312421,0.998724824,,,,,,,,,,,,,-0.000312421
2020-01-02,7:00,1.12011,1.12019,1.12008,1.12013,78,1.79E-05,0.998742657,,,,,,,,,,,,,1.79E-05
2020-01-02,7:05,1.12015,1.12028,1.12013,1.12027,56,0.000124978,0.998867477,,,,,,,,,,,,,0.000124978
2020-01-02,7:10,1.12027,1.12032,1.12011,1.12011,51,-0.000142833,0.998724806,,,,,,,,,,,,,-0.000142833
2020-01-02,7:15,1.12012,1.12028,1.12009,1.12026,90,0.000133906,0.998858542,,,,,,,,,,,,,0.000133906
2020-01-02,7:20,1.12026,1.12033,1.12026,1.12026,39,0,0.998858542,,,,,,,,,,,,,0
2020-01-02,7:25,1.12026,1.12027,1.12012,1.12017,88,-8.03E-05,0.998778292,,,,,,,,,,,,,-8.03E-05
2020-01-02,7:30,1.12017,1.12026,1.12011,1.12022,74,4.46E-05,0.998822872,,,,1.1207725,1.121857787,1.119687213,,,,,,,4.46E-05
2020-01-02,7:35,1.12022,1.12029,1.12021,1.12024,31,1.79E-05,0.998840705,,,,1.1207075,1.121754277,1.119660723,,,,,,,1.79E-05
2020-01-02,7:40,1.12024,1.12032,1.12024,1.12029,38,4.46E-05,0.998885285,,,,1.120656,1.121676926,1.119635074,,,,,,,4.46E-05
2020-01-02,7:45,1.12029,1.1203,1.12018,1.12022,76,-6.25E-05,0.998822869,,,,1.1206005,1.121587265,1.119613735,,,,,,,-6.25E-05
2020-01-02,7:50,1.12022,1.12037,1.12022,1.12037,23,0.000133893,0.998956605,,,,1.120548,1.121460085,1.119635915,,,,,,,0.000133893
2020-01-02,7:55,1.12037,1.12043,1.12028,1.12043,39,5.36E-05,0.999010101,,,,1.1204985,1.121313627,1.119683373,,,,,,,5.36E-05
2020-01-02,8:00,1.12043,1.12064,1.12042,1.12064,73,0.00018741,0.999197326,,,,1.1204675,1.12120406,1.11973094,,,,,,,0.00018741
2020-01-02,8:05,1.12064,1.12068,1.12061,1.12063,82,-8.92E-06,0.99918841,,,,1.120438,1.121090077,1.119785923,,,,,,,-8.92E-06
2020-01-02,8:10,1.12063,1.12069,1.12061,1.12067,76,3.57E-05,0.999224074,,,,1.1204125,1.120976317,1.119848683,,,,,,,3.57E-05
2020-01-02,8:15,1.12067,1.12068,1.12054,1.12058,43,-8.03E-05,0.999143824,,,,1.1203885,1.120871311,1.119905689,,,,,,,-8.03E-05
